##设备信息
设备名称,SyntheticMultiLayout 32x16
行数,32
列数,16
数据点数,48
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月11日_16时00分00秒
噪声描述,mode=membrane_like noise_std=2.0
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,通道97,通道98,通道99,通道100,通道101,通道102,通道103,通道104,通道105,通道106,通道107,通道108,通道109,通道110,通道111,通道112,通道113,通道114,通道115,通道116,通道117,通道118,通道119,通道120,通道121,通道122,通道123,通道124,通道125,通道126,通道127,通道128,通道129,通道130,通道131,通道132,通道133,通道134,通道135,通道136,通道137,通道138,通道139,通道140,通道141,通道142,通道143,通道144,通道145,通道146,通道147,通道148,通道149,通道150,通道151,通道152,通道153,通道154,通道155,通道156,通道157,通道158,通道159,通道160,通道161,通道162,通道163,通道164,通道165,通道166,通道167,通道168,通道169,通道170,通道171,通道172,通道173,通道174,通道175,通道176,通道177,通道178,通道179,通道180,通道181,通道182,通道183,通道184,通道185,通道186,通道187,通道188,通道189,通道190,通道191,通道192,通道193,通道194,通道195,通道196,通道197,通道198,通道199,通道200,通道201,通道202,通道203,通道204,通道205,通道206,通道207,通道208,通道209,通道210,通道211,通道212,通道213,通道214,通道215,通道216,通道217,通道218,通道219,通道220,通道221,通道222,通道223,通道224,通道225,通道226,通道227,通道228,通道229,通道230,通道231,通道232,通道233,通道234,通道235,通道236,通道237,通道238,通道239,通道240,通道241,通道242,通道243,通道244,通道245,通道246,通道247,通道248,通道249,通道250,通道251,通道252,通道253,通道254,通道255,通道256,通道257,通道258,通道259,通道260,通道261,通道262,通道263,通道264,通道265,通道266,通道267,通道268,通道269,通道270,通道271,通道272,通道273,通道274,通道275,通道276,通道277,通道278,通道279,通道280,通道281,通道282,通道283,通道284,通道285,通道286,通道287,通道288,通道289,通道290,通道291,通道292,通道293,通道294,通道295,通道296,通道297,通道298,通道299,通道300,通道301,通道302,通道303,通道304,通道305,通道306,通道307,通道308,通道309,通道310,通道311,通道312,通道313,通道314,通道315,通道316,通道317,通道318,通道319,通道320,通道321,通道322,通道323,通道324,通道325,通道326,通道327,通道328,通道329,通道330,通道331,通道332,通道333,通道334,通道335,通道336,通道337,通道338,通道339,通道340,通道341,通道342,通道343,通道344,通道345,通道346,通道347,通道348,通道349,通道350,通道351,通道352,通道353,通道354,通道355,通道356,通道357,通道358,通道359,通道360,通道361,通道362,通道363,通道364,通道365,通道366,通道367,通道368,通道369,通道370,通道371,通道372,通道373,通道374,通道375,通道376,通道377,通道378,通道379,通道380,通道381,通道382,通道383,通道384,通道385,通道386,通道387,通道388,通道389,通道390,通道391,通道392,通道393,通道394,通道395,通道396,通道397,通道398,通道399,通道400,通道401,通道402,通道403,通道404,通道405,通道406,通道407,通道408,通道409,通道410,通道411,通道412,通道413,通道414,通道415,通道416,通道417,通道418,通道419,通道420,通道421,通道422,通道423,通道424,通道425,通道426,通道427,通道428,通道429,通道430,通道431,通道432,通道433,通道434,通道435,通道436,通道437,通道438,通道439,通道440,通道441,通道442,通道443,通道444,通道445,通道446,通道447,通道448,通道449,通道450,通道451,通道452,通道453,通道454,通道455,通道456,通道457,通道458,通道459,通道460,通道461,通道462,通道463,通道464,通道465,通道466,通道467,通道468,通道469,通道470,通道471,通道472,通道473,通道474,通道475,通道476,通道477,通道478,通道479,通道480,通道481,通道482,通道483,通道484,通道485,通道486,通道487,通道488,通道489,通道490,通道491,通道492,通道493,通道494,通道495,通道496,通道497,通道498,通道499,通道500,通道501,通道502,通道503,通道504,通道505,通道506,通道507,通道508,通道509,通道510,通道511,通道512
16时0分1秒.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,2,1,1,0,0,0,0,1,2,3,0,4,4,5,6,5,5,3,2,1,0,0,1,3,4,4,9,11,12,13,12,11,9,8,6,3,1,1,3,6,8,11,15,19,21,22,21,19,15,11,8,7,3,2,5,8,12,18,24,29,33,35,33,29,24,18,12,8,4,3,5,11,18,26,35,43,48,50,48,43,35,26,18,11,7,6,9,15,24,35,46,57,64,67,64,57,46,35,24,15,9,6,11,19,29,43,57,70,79,83,79,70,57,43,29,19,11,2,12,21,33,48,64,79,90,93,90,79,64,48,33,21,12,7,13,22,35,50,67,83,93,97,93,83,67,50,35,22,13,7,12,21,33,48,64,79,90,93,90,79,64,48,33,21,12,7,11,19,29,43,57,70,79,83,79,70,57,43,29,19,11,10,9,15,24,35,46,57,64,67,64,57,46,35,24,15,9,3,6,11,18,26,35,43,48,50,48,43,35,26,18,11,5,2,0,8,12,18,24,29,33,35,33,29,24,18,12,8,3,1,3,7,8,11,15,19,21,22,21,19,15,11,8,7,3,0,1,3,5,4,9,11,12,13,12,11,9,8,4,3,1,0,0,1,2,3,5,6,5,7,7,9,6,3,2,1,0,0,0,0,1,1,2,3,3,3,3,3,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,2,3,3,3,2,2,1,1,0,0,0,0,1,2,3,4,6,6,6,9,6,5,3,2,1,0,0,1,2,6,4,8,10,12,12,12,10,8,5,0,2,1,1,2,7,7,11,14,18,20,21,20,18,14,11,7,4,2,2,6,7,12,17,23,28,32,33,32,28,23,17,12,7,3,3,7,11,17,25,33,40,46,48,46,40,33,25,17,11,9,5,8,14,23,33,44,54,61,64,61,54,44,33,23,14,8,8,10,18,28,40,54,66,75,78,75,66,54,40,28,18,10,5,12,20,32,46,61,75,85,88,85,75,61,46,32,20,12,6,12,21,33,48,64,78,88,92,88,78,64,48,33,21,12,5,12,20,32,46,61,75,85,88,85,75,61,46,32,20,12,6,10,18,28,40,54,66,75,78,75,66,54,40,28,18,10,5,8,14,23,33,44,54,61,64,61,54,44,33,23,14,8,3,5,11,17,25,33,40,46,48,46,40,33,25,17,11,7,2,5,7,12,17,23,28,32,33,32,28,23,17,12,7,2,1,2,4,7,11,14,18,20,21,20,18,14,11,7,6,2,0,1,2,5,5,8,10,12,12,12,10,8,5,6,2,1,0,0,1,2,3,2,6,5,5,4,7,2,3,2,1,0,0,0,0,1,1,2,2,3,3,3,2,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,2,3,3,3,2,2,1,1,0,0,0,0,1,2,3,3,5,4,4,5,4,4,3,2,1,0,0,1,2,2,7,8,9,11,11,11,9,8,5,6,2,1,1,2,7,7,10,13,16,19,19,19,16,13,10,7,4,2,2,0,7,11,16,21,26,30,31,30,26,21,16,11,7,3,3,9,10,16,23,31,38,43,45,43,38,31,23,16,10,4,1,8,13,21,31,41,51,57,60,57,51,41,31,21,13,8,7,9,16,26,38,51,62,70,73,70,62,51,38,26,16,9,6,11,19,30,43,57,70,80,83,80,70,57,43,30,19,11,5,11,19,31,45,60,73,83,86,83,73,60,45,31,19,11,5,11,19,30,43,57,70,80,83,80,70,57,43,30,19,11,5,9,16,26,38,51,62,70,73,70,62,51,38,26,16,9,3,8,13,21,31,41,51,57,60,57,51,41,31,21,13,8,3,7,10,16,23,31,38,43,45,43,38,31,23,16,10,6,2,7,7,11,16,21,26,30,31,30,26,21,16,11,7,4,1,2,6,7,10,13,16,19,19,19,16,13,10,7,3,2,0,1,2,3,2,8,9,11,11,11,9,8,4,4,2,1,0,0,1,2,3,2,8,6,5,8,8,4,3,2,1,0,0,0,0,1,1,2,2,3,3,3,2,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,1,1,0,0,0,0,1,2,3,4,3,7,8,5,9,6,3,2,1,0,0,1,2,6,2,7,9,10,10,10,9,7,5,4,2,1,1,2,5,6,9,12,15,17,18,17,15,12,9,6,5,2,2,3,6,10,15,20,24,27,29,27,24,20,15,10,6,3,3,10,9,15,21,29,35,40,42,40,35,29,21,15,9,6,6,7,12,20,29,38,47,53,55,53,47,38,29,20,12,7,4,9,15,24,35,47,58,65,68,65,58,47,35,24,15,9,5,10,17,27,40,53,65,74,77,74,65,53,40,27,17,10,4,10,18,29,42,55,68,77,80,77,68,55,42,29,18,10,6,10,17,27,40,53,65,74,77,74,65,53,40,27,17,10,3,9,15,24,35,47,58,65,68,65,58,47,35,24,15,9,1,7,12,20,29,38,47,53,55,53,47,38,29,20,12,7,3,7,9,15,21,29,35,40,42,40,35,29,21,15,9,7,2,7,6,10,15,20,24,27,29,27,24,20,15,10,6,3,1,2,3,6,9,12,15,17,18,17,15,12,9,6,4,2,0,1,2,4,4,7,9,10,10,10,9,7,6,4,2,1,0,0,1,2,3,5,5,3,6,6,6,5,3,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,1,1,0,0,0,0,0,1,1,2,4,8,6,5,5,6,3,2,1,1,0,0,1,2,4,5,6,8,9,10,9,8,6,7,4,2,1,1,2,7,6,8,11,14,16,17,16,14,11,8,6,5,2,1,4,6,9,13,18,22,25,26,25,22,18,13,9,6,5,2,6,8,13,20,26,32,37,38,37,32,26,20,13,8,4,3,6,11,18,26,35,43,49,51,49,43,35,26,18,11,6,7,8,14,22,32,43,53,60,63,60,53,43,32,22,14,8,6,9,16,25,37,49,60,68,71,68,60,49,37,25,16,9,0,10,17,26,38,51,63,71,74,71,63,51,38,26,17,10,5,9,16,25,37,49,60,68,71,68,60,49,37,25,16,9,6,8,14,22,32,43,53,60,63,60,53,43,32,22,14,8,0,6,11,18,26,35,43,49,51,49,43,35,26,18,11,6,2,4,8,13,20,26,32,37,38,37,32,26,20,13,8,3,1,3,6,9,13,18,22,25,26,25,22,18,13,9,6,1,1,2,3,6,8,11,14,16,17,16,14,11,8,6,1,2,0,1,2,7,3,6,8,9,10,9,8,6,6,1,2,1,0,0,1,1,2,2,0,4,4,4,5,2,2,1,1,0,0,0,0,0,1,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,1,1,0,0,0,0,0,1,1,2,1,2,2,3,4,3,4,2,1,1,0,0,1,2,6,7,6,7,8,9,8,7,6,5,3,2,1,1,2,3,5,8,10,13,14,15,14,13,10,8,5,3,2,1,1,5,8,12,16,20,23,24,23,20,16,12,8,5,3,2,4,8,12,18,24,29,33,35,33,29,24,18,12,8,5,5,6,10,16,24,32,39,44,46,44,39,32,24,16,10,6,2,7,13,20,29,39,48,55,57,55,48,39,29,20,13,7,3,8,14,23,33,44,55,62,64,62,55,44,33,23,14,8,1,9,15,24,35,46,57,64,67,64,57,46,35,24,15,9,7,8,14,23,33,44,55,62,64,62,55,44,33,23,14,8,7,7,13,20,29,39,48,55,57,55,48,39,29,20,13,7,4,6,10,16,24,32,39,44,46,44,39,32,24,16,10,6,2,2,8,12,18,24,29,33,35,33,29,24,18,12,8,3,1,2,5,8,12,16,20,23,24,23,20,16,12,8,5,2,1,2,0,5,8,10,13,14,15,14,13,10,8,5,0,2,0,1,2,4,3,6,7,8,9,8,7,6,6,5,2,1,0,0,1,1,2,5,5,6,9,1,5,3,2,1,1,0,0,0,0,0,1,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,1,1,1,0,0,0,0,0,1,1,2,7,2,3,8,5,5,0,2,1,1,0,0,1,1,0,9,5,6,7,8,7,6,5,7,3,1,1,1,1,3,5,7,9,11,13,13,13,11,9,7,5,3,1,1,2,5,7,11,15,18,20,21,20,18,15,11,7,5,4,2,4,7,11,16,21,26,30,31,30,26,21,16,11,7,6,2,5,9,15,21,29,35,40,41,40,35,29,21,15,9,5,2,6,11,18,26,35,43,49,51,49,43,35,26,18,11,6,1,7,13,20,30,40,49,55,58,55,49,40,30,20,13,7,4,8,13,21,31,41,51,58,60,58,51,41,31,21,13,8,2,7,13,20,30,40,49,55,58,55,49,40,30,20,13,7,2,6,11,18,26,35,43,49,51,49,43,35,26,18,11,6,2,5,9,15,21,29,35,40,41,40,35,29,21,15,9,5,2,2,7,11,16,21,26,30,31,30,26,21,16,11,7,2,1,5,5,7,11,15,18,20,21,20,18,15,11,7,5,1,1,1,5,5,7,9,11,13,13,13,11,9,7,5,4,1,0,1,1,5,5,5,6,7,8,7,6,5,4,5,1,1,0,0,1,1,2,3,4,8,5,6,4,2,2,1,1,0,0,0,0,0,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,4,3,0,2,5,1,6,2,1,0,0,0,0,1,2,5,5,6,6,7,6,6,5,7,0,1,0,0,1,3,4,6,8,10,11,12,11,10,8,6,4,6,1,1,4,4,6,10,13,16,18,19,18,16,13,10,6,4,5,2,6,6,10,14,19,23,26,27,26,23,19,14,10,6,1,4,5,8,13,19,25,31,35,37,35,31,25,19,13,8,5,2,6,10,16,23,31,38,43,45,43,38,31,23,16,10,6,3,6,11,18,26,35,43,49,51,49,43,35,26,18,11,6,1,7,12,19,27,37,45,51,53,51,45,37,27,19,12,7,5,6,11,18,26,35,43,49,51,49,43,35,26,18,11,6,4,6,10,16,23,31,38,43,45,43,38,31,23,16,10,6,1,5,8,13,19,25,31,35,37,35,31,25,19,13,8,5,2,2,6,10,14,19,23,26,27,26,23,19,14,10,6,1,1,0,4,6,10,13,16,18,19,18,16,13,10,6,4,3,0,1,3,4,6,8,10,11,12,11,10,8,6,4,2,1,0,0,1,3,3,5,6,6,7,6,6,5,5,0,1,0,0,0,0,1,2,1,4,3,6,5,2,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,3,3,0,1,6,1,1,1,0,0,0,0,1,3,4,4,5,5,6,5,5,4,4,0,1,0,0,1,4,3,5,7,9,10,10,10,9,7,5,3,4,1,1,0,3,5,8,11,14,15,16,15,14,11,8,5,3,0,1,5,5,8,12,16,20,23,24,23,20,16,12,8,5,0,0,4,7,11,16,22,27,30,31,30,27,22,16,11,7,4,5,5,9,14,20,27,33,37,39,37,33,27,20,14,9,5,0,5,10,15,23,30,37,42,44,42,37,30,23,15,10,5,3,6,10,16,24,31,39,44,46,44,39,31,24,16,10,6,6,5,10,15,23,30,37,42,44,42,37,30,23,15,10,5,5,5,9,14,20,27,33,37,39,37,33,27,20,14,9,5,1,4,7,11,16,22,27,30,31,30,27,22,16,11,7,4,1,4,5,8,12,16,20,23,24,23,20,16,12,8,5,1,1,2,3,5,8,11,14,15,16,15,14,11,8,5,3,3,0,1,2,3,5,7,9,10,10,10,9,7,5,3,6,1,0,0,1,1,1,4,5,5,6,5,5,4,1,1,1,0,0,0,0,1,1,0,2,1,5,4,1,4,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,1,3,1,1,0,0,0,0,1,4,0,3,4,5,5,5,4,3,1,3,1,0,0,1,3,3,4,6,7,8,8,8,7,6,4,3,4,1,1,4,3,5,7,9,11,13,13,13,11,9,7,5,3,0,1,0,4,7,10,13,17,19,20,19,17,13,10,7,4,3,2,3,6,9,13,18,22,25,26,25,22,18,13,9,6,3,2,4,7,11,17,22,28,31,32,31,28,22,17,11,7,4,0,5,8,13,19,25,31,35,37,35,31,25,19,13,8,5,2,5,8,13,20,26,32,37,38,37,32,26,20,13,8,5,2,5,8,13,19,25,31,35,37,35,31,25,19,13,8,5,1,4,7,11,17,22,28,31,32,31,28,22,17,11,7,4,3,3,6,9,13,18,22,25,26,25,22,18,13,9,6,3,1,7,4,7,10,13,17,19,20,19,17,13,10,7,4,3,1,5,3,5,7,9,11,13,13,13,11,9,7,5,3,6,0,1,2,3,4,6,7,8,8,8,7,6,4,3,0,1,0,0,1,0,4,3,4,5,5,5,4,3,0,3,1,0,0,0,0,1,1,3,2,4,2,2,0,4,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,1,0,0,0,0,0,0,0,1,2,3,4,4,4,3,2,2,1,0,0,0,0,4,2,3,5,6,6,7,6,6,5,3,2,1,0,0,0,2,4,5,7,9,10,11,10,9,7,5,4,2,1,1,1,3,5,8,11,13,15,16,15,13,11,8,5,3,5,0,2,5,7,11,15,18,20,21,20,18,15,11,7,5,2,7,3,6,9,13,18,22,25,26,25,22,18,13,9,6,3,2,4,6,10,15,20,25,29,30,29,25,20,15,10,6,4,0,4,7,11,16,21,26,30,31,30,26,21,16,11,7,4,0,4,6,10,15,20,25,29,30,29,25,20,15,10,6,4,4,3,6,9,13,18,22,25,26,25,22,18,13,9,6,3,0,2,5,7,11,15,18,20,21,20,18,15,11,7,5,2,1,1,3,5,8,11,13,15,16,15,13,11,8,5,3,0,0,0,2,4,5,7,9,10,11,10,9,7,5,4,2,2,0,0,3,2,3,5,6,6,7,6,6,5,3,2,2,0,0,0,0,1,1,2,3,4,4,4,3,2,2,0,0,0,0,0,0,0,1,1,0,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
